away_team_name,home_team_name,away_team_wins,away_team_losses,home_team_wins,home_team_losses,away_team_runs,home_team_runs,away_team_hits,home_team_hits,away_team_errors,home_team_errors,winning_pitcher,date
Pirates,Tigers,1,0,0,1,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,TBD,2018-03-31
Twins,Orioles,2,1,1,2,7,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/orioles"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg"" width=""100%""/></div></a>",10,3,0,1,Berríos,2018-04-01
Yankees,Blue Jays,2,2,2,2,4,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/bluejays"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg"" width=""100%""/></div></a>",5,12,0,1,Clippard,2018-04-01
Pirates,Tigers,2,0,0,2,1,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/tigers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg"" width=""100%""/></div></a>",6,2,0,0,"Williams, T",2018-04-01
Pirates,Tigers,3,0,0,3,8,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/tigers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg"" width=""100%""/></div></a>",10,12,0,0,Kuhl,2018-04-01
Cardinals,Mets,1,2,2,1,5,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/mets"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/121.svg"" width=""100%""/></div></a>",9,7,0,0,Weaver,2018-04-01
Red Sox,Rays,3,1,1,3,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/rays"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg"" width=""100%""/></div></a>",6,8,0,1,"Velázquez, H",2018-04-01
Cubs,Marlins,2,2,2,2,0,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/marlins"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg"" width=""100%""/></div></a>",8,8,0,0,Peters,2018-04-01
Astros,Rangers,3,1,1,3,8,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/rangers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg"" width=""100%""/></div></a>",13,4,0,0,"Cole, G",2018-04-01
Angels,Athletics,3,1,1,3,7,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/athletics"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg"" width=""100%""/></div></a>",13,5,0,1,Ohtani,2018-04-01
Nationals,Reds,3,0,0,3,6,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/reds"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg"" width=""100%""/></div></a>",8,7,0,0,"Gonzalez, G",2018-04-01
Indians,Mariners,1,2,2,1,4,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/mariners"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/136.svg"" width=""100%""/></div></a>",7,8,0,1,Leake,2018-04-01
Giants,Dodgers,2,2,2,2,0,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/dodgers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg"" width=""100%""/></div></a>",6,13,0,0,"Hill, R",2018-04-01
White Sox,Royals,2,0,0,2,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,TBD,2018-04-01
Pirates,Tigers,1,0,0,1,13,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/tigers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg"" width=""100%""/></div></a>",17,14,2,3,Brault,2018-03-30
Nationals,Reds,1,0,0,1,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/reds"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg"" width=""100%""/></div></a>",6,7,0,0,Scherzer,2018-03-30
Yankees,Blue Jays,2,0,0,2,4,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/bluejays"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg"" width=""100%""/></div></a>",8,5,0,0,Tanaka,2018-03-30
Red Sox,Rays,1,1,1,1,1,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/rays"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg"" width=""100%""/></div></a>",7,4,0,0,Price,2018-03-30
Cubs,Marlins,1,1,1,1,1,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/marlins"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg"" width=""100%""/></div></a>",8,12,1,0,"Despaigne, O",2018-03-30
Phillies,Braves,1,1,1,1,5,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/braves"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg"" width=""100%""/></div></a>",10,9,0,3,Hutchison,2018-03-30
Astros,Rangers,1,1,1,1,1,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/rangers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg"" width=""100%""/></div></a>",5,10,1,2,Fister,2018-03-30
Rockies,D-backs,0,2,2,0,8,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/dbacks"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg"" width=""100%""/></div></a>",10,8,0,1,Ray,2018-03-30
Angels,Athletics,1,1,1,1,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/athletics"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg"" width=""100%""/></div></a>",6,7,0,1,Skaggs,2018-03-30
Giants,Dodgers,2,0,0,2,1,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/dodgers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg"" width=""100%""/></div></a>",2,1,0,4,Watson,2018-03-30
Brewers,Padres,2,0,0,2,8,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/padres"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg"" width=""100%""/></div></a>",11,12,1,2,Drake,2018-03-30
Cardinals,Mets,0 , 2 ,2 , 0 ,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/mets"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/121.svg"" width=""100%""/></div></a>",7,11,0,1,deGrom,2018-03-31
Nationals,Reds,2 , 0 ,0 , 2 ,13,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/reds"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg"" width=""100%""/></div></a>",14,12,1,0,Strasburg,2018-03-31
Angels,Athletics,2 , 1 ,1 , 2 ,8,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/athletics"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg"" width=""100%""/></div></a>",12,8,0,1,Shoemaker,2018-03-31
Astros,Rangers,2 , 1 ,1 , 2 ,9,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/rangers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg"" width=""100%""/></div></a>",14,5,0,0,McCullers Jr.,2018-03-31
Yankees,Blue Jays,2 , 1 ,1 , 2 ,3,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/bluejays"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg"" width=""100%""/></div></a>",4,9,2,0,Tepera,2018-03-31
Indians,Mariners,1 , 1 ,1 , 1 ,6,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/mariners"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/136.svg"" width=""100%""/></div></a>",6,10,0,0,Carrasco,2018-03-31
Red Sox,Rays,2 , 1 ,1 , 2 ,3,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/rays"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg"" width=""100%""/></div></a>",7,8,0,1,Porcello,2018-03-31
Twins,Orioles,1 , 1 ,1 , 1 ,6,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/orioles"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg"" width=""100%""/></div></a>",9,3,0,1,Gibson,2018-03-31
Phillies,Braves,1 , 2 ,2 , 1 ,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/braves"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg"" width=""100%""/></div></a>",6,19,4,0,McCarthy,2018-03-31
Cubs,Marlins,2 , 1 ,1 , 2 ,10,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/marlins"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg"" width=""100%""/></div></a>",13,10,0,1,Strop,2018-03-31
White Sox,Royals,2 , 0 ,0 , 2 ,4,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/royals"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/118.svg"" width=""100%""/></div></a>",8,6,0,0,Farquhar,2018-03-31
Rockies,D-backs,1 , 2 ,2 , 1 ,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/dbacks"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg"" width=""100%""/></div></a>",6,5,1,0,"Shaw, B",2018-03-31
Brewers,Padres,3 , 0 ,0 , 3 ,7,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/padres"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg"" width=""100%""/></div></a>",12,6,0,0,Suter,2018-03-31
Giants,Dodgers,2 , 1 ,1 , 2 ,0,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/dodgers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg"" width=""100%""/></div></a>",9,4,3,0,Maeda,2018-03-31
Pirates,Tigers,1 , 0 ,0 , 1 ,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,TBD,2018-03-31
